Post Code,"District/ตำบล,แขวง","City/อำเภอ,เขต",County/จังหวัด,Country/Region Code
10100,แขวงคลองมหานาค,เขตป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,TH
10100,แขวงบ้านบาตร,เขตป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,TH
10100,แขวงป้อมปราบ,เขตป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,TH
10100,แขวงวัดเทพศิรินทร์,เขตป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,TH
10100,แขวงวัดโสมนัส,เขตป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,TH
10100,แขวงจักรวรรดิ,เขตสัมพันธวงศ์,กรุงเทพมหานคร,TH
10100,แขวงตลาดน้อย,เขตสัมพันธวงศ์,กรุงเทพมหานคร,TH
10100,แขวงสัมพันธวงศ์,เขตสัมพันธวงศ์,กรุงเทพมหานคร,TH
10110,แขวงคลองตัน,เขตคลองเตย,กรุงเทพมหานคร,TH
10110,แขวงคลองเตย,เขตคลองเตย,กรุงเทพมหานคร,TH
10110,แขวงพระโขนง,เขตคลองเตย,กรุงเทพมหานคร,TH
10110,แขวงคลองตันเหนือ,เขตวัฒนา,กรุงเทพมหานคร,TH
10110,แขวงคลองเตยเหนือ,เขตวัฒนา,กรุงเทพมหานคร,TH
10110,แขวงพระโขนงเหนือ,เขตวัฒนา,กรุงเทพมหานคร,TH
10120,แขวงบางคอแหลม,เขตบางคอแหลม,กรุงเทพมหานคร,TH
10120,แขวงบางโคล่,เขตบางคอแหลม,กรุงเทพมหานคร,TH
10120,แขวงวัดพระยาไกร,เขตบางคอแหลม,กรุงเทพมหานคร,TH
10120,แขวงช่องนนทรี,เขตยานนาวา,กรุงเทพมหานคร,TH
10120,แขวงบางโพงพาง,เขตยานนาวา,กรุงเทพมหานคร,TH
10120,แขวงยานนาวา,เขตยานนาวา,กรุงเทพมหานคร,TH
10120,แขวงช่องนนทรี,เขตสาทร,กรุงเทพมหานคร,TH
10120,แขวงทุ่งมหาเมฆ,เขตสาทร,กรุงเทพมหานคร,TH
10120,แขวงทุ่งวัดดอน,เขตสาทร,กรุงเทพมหานคร,TH
10120,แขวงยานนาวา,เขตสาทร,กรุงเทพมหานคร,TH
10130,ตำบลตลาด,อำเภอพระประแดง,จังหวัดสมุทรปราการ,TH
10130,ตำบลทรงคนอง,อำเภอพระประแดง,จังหวัดสมุทรปราการ,TH
10130,ตำบลบางกระสอบ,อำเภอพระประแดง,จังหวัดสมุทรปราการ,TH
10130,ตำบลบางกอบัว,อำเภอพระประแดง,จังหวัดสมุทรปราการ,TH
10130,ตำบลบางกะเจ้า,อำเภอพระประแดง,จังหวัดสมุทรปราการ,TH
10130,ตำบลบางครุ,อำเภอพระประแดง,จังหวัดสมุทรปราการ,TH
10130,ตำบลบางจาก,อำเภอพระประแดง,จังหวัดสมุทรปราการ,TH
10130,ตำบลบางน้ำผึ้ง,อำเภอพระประแดง,จังหวัดสมุทรปราการ,TH
10130,ตำบลบางพึ่ง,อำเภอพระประแดง,จังหวัดสมุทรปราการ,TH
10130,ตำบลบางยอ,อำเภอพระประแดง,จังหวัดสมุทรปราการ,TH
10130,ตำบลบางหญ้าแพรก,อำเภอพระประแดง,จังหวัดสมุทรปราการ,TH
10130,ตำบลบางหัวเสือ,อำเภอพระประแดง,จังหวัดสมุทรปราการ,TH
